,unique,county,state,population,pop_sqmi,white,black,ameri_es,asian,hawn_pi,hispanic,other,med_age,sqmi,date,fips,cases,deaths,rural_urban_continuum_code_2013,unemployment_rate_2018,median_household_income_2018,2003 rural-urban continuum code,percent_adults_lessthan_hs_2014-18,percent_adults_hs_only_2014-18,percent_some_college_2014-18,percent_bs_higher_2014-18
1049,Autauga.Alabama,Autauga,Alabama,56319,93.2,42855,9643,232,474,32,1310,466,36.9,604.13,2020-05-29,1001.0,212,3,2.0,3.6,"59,338",2.0,11.3,32.6,28.4,27.7
350,Baldwin.Alabama,Baldwin,Alabama,209227,127.6,156153,17105,1216,1348,89,7992,3631,41.2,1640.33,2020-05-29,1003.0,282,9,7.0,4.0,"37,887",4.0,9.7,27.6,31.3,31.3
1083,Barbour.Alabama,Barbour,Alabama,27072,29.9,13180,12875,114,107,29,1387,894,39.0,904.49,2020-05-29,1005.0,147,1,6.0,4.6,"29,267",6.0,27.0,35.7,25.1,12.2
1065,Bibb.Alabama,Bibb,Alabama,22932,36.6,17381,5047,64,22,13,406,185,37.7,626.18,2020-05-29,1007.0,71,1,2.0,4.0,"39,104",9.0,17.6,39.9,30.0,12.5
1070,Blount.Alabama,Blount,Alabama,57596,88.5,53068,761,307,117,38,4626,2347,38.9,650.63,2020-05-29,1009.0,60,1,8.0,6.4,"26,814",8.0,15.8,37.8,24.6,21.8
1084,Bullock.Alabama,Bullock,Alabama,10811,17.3,2507,7666,23,20,43,777,569,38.4,625.05,2020-05-29,1011.0,201,4,3.0,5.0,"34,724",6.0,24.8,39.7,22.3,13.3
1050,Butler.Alabama,Butler,Alabama,20621,26.5,11399,9095,60,177,7,191,48,40.1,777.88,2020-05-29,1013.0,396,16,7.0,7.4,"40,741",7.0,18.8,43.7,24.9,12.6
1111,Calhoun.Alabama,Calhoun,Alabama,117650,192.1,88840,24382,540,845,96,3893,1894,38.1,612.37,2020-05-29,1015.0,153,3,6.0,5.3,"32,495",3.0,15.9,32.4,33.7,18.0
1104,Chambers.Alabama,Chambers,Alabama,34225,56.8,20112,13257,69,168,10,536,214,41.5,603.08,2020-05-29,1017.0,352,24,3.0,4.4,"46,027",6.0,18.6,38.4,29.7,13.2
1213,Cherokee.Alabama,Cherokee,Alabama,25853,43.1,24081,1208,135,54,1,320,123,43.9,600.07,2020-05-29,1019.0,36,3,7.0,6.0,"39,556",8.0,19.8,38.3,29.0,12.9
1066,Chilton.Alabama,Chilton,Alabama,44675,63.7,36713,4230,155,130,55,3420,1854,37.5,700.82,2020-05-29,1021.0,99,1,3.0,4.5,"49,055",1.0,17.8,44.1,24.0,14.2
1035,Choctaw.Alabama,Choctaw,Alabama,13369,14.5,7731,6012,18,12,0,73,28,43.2,920.89,2020-05-29,1023.0,149,8,6.0,3.7,"39,388",9.0,18.6,38.2,30.2,13.0
1036,Clarke.Alabama,Clarke,Alabama,25085,20.0,14070,11336,103,77,4,271,67,40.2,1252.37,2020-05-29,1025.0,134,2,2.0,4.6,"43,598",1.0,7.8,20.3,29.7,42.1
